,Seconds,Q_air DataCentre [kW]_model,T_sup_air DataCentre [°C]_model,T_ret_air DataCentre [°C]_model
0,0,0.7655112178807956,29.85463273748591,20.10893453532454
1,3600,0.7612590988272405,29.79469577242176,21.38325176475314
2,7200,0.7800952875984511,29.911252948324982,20.623926082184596
3,10800,0.7602458064119832,30.02861623930586,20.49131214778036
4,14400,0.766473334144732,30.1047466009718,21.081525361992206
5,18000,0.7752136186396922,29.418739451686747,20.88673682799993
6,21600,0.7982208585360825,29.419383488415598,20.999156378560386
7,25200,0.7648420535586925,29.281498222707157,20.773830649912412
8,28800,0.7674111982075031,30.20902336072972,20.519656371024965
9,32400,0.7505590075823411,29.842324383087618,20.8644596117441
10,36000,0.7790361282371571,29.980710071735196,20.863677194080598
11,39600,0.7828798602306498,29.677537448358063,21.497111510224162
12,43200,0.7691400072833744,30.14662795585795,21.026387875250332
13,46800,0.8110387804196131,30.098734448018945,21.05847859173345
14,50400,0.7608461794074641,30.784312476933945,21.06688064247901
15,54000,0.7134659036745771,29.926001274545946,21.1548906604238
16,57600,0.7696176809739942,29.989239148739827,21.21320504162843
17,61200,0.7877089849365311,30.326635125088984,20.732750996888853
18,64800,0.7588690880781769,30.059397019006386,20.931414741446062
19,68400,0.7622739786687766,30.282789613698974,20.949969601043247
20,72000,0.7787889295950498,30.547512328079005,21.07586071514512
21,75600,0.773561520819385,29.97136312472862,21.2318946014256
22,79200,0.786855485441446,30.294608030327293,21.119154301040435
23,82800,0.8048918577316679,29.897519348477466,20.63864431338543
24,86400,0.843592076815082,29.62001694373718,20.828369975427144
25,90000,0.8196069426954001,30.305306241128847,20.234865683779006
26,93600,0.8178576873269828,29.789712224441338,20.654713744762503
27,97200,0.8179435773246779,29.778025269086857,20.852562657320426
28,100800,0.8603941751049698,29.712714705082906,20.055769905767264
29,104400,0.8473173288670006,30.13282088606466,20.30105213930347
30,108000,0.8568506684295546,29.344113670125683,20.77665111411055
31,111600,0.7750275048227016,29.618127493581465,21.227404883657325
32,115200,0.8262923272893582,29.6328653453975,20.468653628413303
33,118800,0.8300141384998654,29.125686969156003,20.975563961918336
34,122400,0.830263808091465,29.57083353918133,20.617276612116576
35,126000,0.8319346814467167,29.29655002702777,21.170241700158332
36,129600,0.8201410786145377,30.550084098943245,20.833798186567105
37,133200,0.7950485416332083,29.709172237442587,21.101130861724467
38,136800,0.8333841236844364,29.96677864550172,21.01210838660369
39,140400,0.8309309504465506,30.30729506234978,20.989137573500876
40,144000,0.81969724771175,30.035535123317075,21.323639532400602
41,147600,0.8158073586019797,29.704720639829663,20.938230850249653
42,151200,0.8372989249701593,29.340203333549205,21.11986748891746
43,154800,0.8146446497910379,30.18955777626567,20.703196770627734
44,158400,0.863375054557162,30.325712305689894,20.641108148456972
45,162000,0.8617878237362425,30.00110613783254,20.58540524563981
46,165600,0.8281322805456723,29.641520599210168,20.780984779234345
47,169200,0.8334837796092104,30.12969773815883,21.06883582411992
48,172800,0.7408744679743534,30.63753232655788,20.879508505279162
49,176400,0.774052015870844,30.372556089270404,20.981002930083324
50,180000,0.7535551819052961,30.36142860313719,21.291432913900834
51,183600,0.7734894912427563,30.506494867776723,20.295468103342685
52,187200,0.7092980283150983,29.981504419133387,20.767329742050972
53,190800,0.8069925371319867,30.43192248969291,20.61250845543582
54,194400,0.7594697606323525,30.374331417995908,20.823043194552938
55,198000,0.7995765150968943,30.195289234416535,20.371796880759153
56,201600,0.7392877720705556,29.829752005566338,20.87902114147146
57,205200,0.7366891900876473,29.863232642295454,20.808325846078738
58,208800,0.7529603216234345,29.92621765234284,21.3276434106479
59,212400,0.7625061633585981,29.93659336660085,21.091039162905282
60,216000,0.7434361514305237,29.962959468293782,20.893101091268303
61,219600,0.757529466659669,30.177623515078974,20.649496284742845
62,223200,0.7457013913590257,30.938105961539915,21.082029675252354
63,226800,0.7489623144533538,29.96244420963188,21.25540367925237
64,230400,0.7629674640057326,30.615927031631752,21.35263583663443
65,234000,0.7926553903942786,31.045382425419113,20.819769987556903
66,237600,0.7425324168729274,31.482530615763416,21.26776854236257
67,241200,0.7725355702671818,30.94896877475457,21.435658619660497
68,244800,0.7405916501721513,30.5970990972782,20.795565042829622
69,248400,0.743465376833914,30.601270066258223,20.72457082583165
70,252000,0.7597285837923399,30.609329174901976,20.92336053341252
71,255600,0.7512499827201167,30.868895835052125,20.840493305968973
72,259200,0.7882213061184432,31.41006005825349,20.34245334258886
73,262800,0.7888851961964087,31.86301132819219,20.522913321546692
74,266400,0.7548390044294842,31.195681328454338,20.440767911357742
75,270000,0.7243198997428255,30.503960665943104,20.13630574436217
76,273600,0.7479737701397912,31.057358941179807,20.758578166039502
77,277200,0.7642106730923454,30.741803011152218,20.270977256961736
78,280800,0.7623220921348063,31.014662837370135,19.787854528554163
79,284400,0.7568129762454656,29.771542584193334,19.881350750764085
80,288000,0.7497147938050263,30.801684959924657,20.664822317086468
81,291600,0.7393071481176414,30.0699551860456,20.71791262306516
82,295200,0.7649928740843619,30.25588830182491,20.66391676471211
83,298800,0.7231804984289528,30.809856385492655,21.146531163425166
84,302400,0.7824334409236611,30.24325741253281,20.225438778623154
85,306000,0.7247947119318213,30.885640348218487,21.115819426372326
86,309600,0.751322558415579,31.21283236540927,19.85706996487459
87,313200,0.7816639694394402,30.77198005028101,20.367607281462675
88,316800,0.7508813411237152,31.84698297108484,20.062667128412713
89,320400,0.7523999041313869,30.7695866976214,20.57728807915438
90,324000,0.7750962299759419,30.36797242554893,20.26168214335348
91,327600,0.7589289540669452,30.971505578813183,20.578033531297507
92,331200,0.7795677773826362,31.903669671509796,20.931385524291834
93,334800,0.7612632491689114,31.53056525939988,20.388357250602798
94,338400,0.7415756750926803,30.767565303640886,19.76791210722648
95,342000,0.8080807698864242,31.253205676374108,20.11758826288993
96,345600,0.7926252114505915,29.737406852804195,21.74719452029212
97,349200,0.7990776318310795,30.44940063451568,21.043724424480384
98,352800,0.8063483599019368,29.577849632638753,22.065704090226344
99,356400,0.7867640660884573,29.288614933256316,21.057478560291454
100,360000,0.78434950732036,28.918873838969702,20.515062367464864
101,363600,0.8086895593001444,29.380422291455357,20.99283987928632
102,367200,0.792525591087498,29.423697427462333,20.797230388264314
103,370800,0.8034122189639871,29.05218908213601,20.79212889536301
104,374400,0.7719362442295532,28.65814117094646,20.62507521109997
105,378000,0.7687320637873021,28.96658051200888,20.631028459305657
106,381600,0.7716205772405904,28.94049922064444,20.868881260154634
107,385200,0.8154877297229116,28.618629244060966,21.566696309602143
108,388800,0.755197414431316,28.605012841277087,21.687317353741232
109,392400,0.7875093852228978,29.104958528495903,21.262893266554304
110,396000,0.8047578477700983,29.259095199886037,21.7867875634151
111,399600,0.8017912662197241,29.026014288875178,22.057821983348795
112,403200,0.836030079175854,28.85115925716868,20.871085344210833
113,406800,0.8417101106054815,28.94455248665102,21.022414724137843
114,410400,0.8296675985825779,28.90206147157118,20.877038645630318
115,414000,0.8329579171042416,29.42752608988725,21.682771244936617
116,417600,0.8146840228252723,29.326211214779402,21.037820195412273
117,421200,0.7888628386276558,28.70235403852521,21.252018680567634
118,424800,0.8225414343452694,29.364863727569738,20.660816990446683
119,428400,0.8324666619761915,29.57798158430247,21.334786007698856
120,432000,0.8419207792920058,31.548380732944995,19.873955188899085
121,435600,0.778340218983569,31.47967092646494,19.725723896769413
122,439200,0.8263332666460002,31.441201733052612,19.288736016163043
123,442800,0.7625169449335037,30.616885961416997,20.235663731607637
124,446400,0.8215823652722702,30.931684529519256,19.509415577510534
125,450000,0.7751840208345426,31.7594265218775,19.350146365597993
126,453600,0.7734559829427223,31.553251509631313,19.980569818218214
127,457200,0.8247142639043994,30.382579753265468,19.443175228417193
128,460800,0.7702936603958245,30.292873162336097,20.184573935314837
129,464400,0.7679082815688334,30.457974489876364,19.57898635455226
130,468000,0.7891436918246028,30.12519573048109,20.200117200364566
131,471600,0.768602550614878,30.316094189551226,20.379419836234977
132,475200,0.750847179959269,30.12749629093288,19.755714676913364
133,478800,0.7963139030273734,31.50016301663864,20.077185099298312
134,482400,0.7819083010106902,30.910614505820817,19.77400481628665
135,486000,0.7569366687635474,31.4599110157936,20.229982450112036
136,489600,0.8215316699768239,30.45536612310957,19.78911831597697
137,493200,0.7606531987576345,30.96289543406066,19.531237781931935
138,496800,0.7825586674513766,30.667418621400596,19.930284454882763
139,500400,0.7839991139362489,30.604267409748715,19.625733180126335
140,504000,0.8327234489239781,31.935431940969618,20.717681417199582
141,507600,0.7990630584829016,31.516783224920832,20.423855628034584
142,511200,0.8140085149344816,31.382198383110588,19.79890108467048
143,514800,0.8039350770870517,31.68345454735849,20.227357094690017
144,518400,0.8184307932638721,29.970028654813415,21.573693148403557
145,522000,0.7907138196056656,30.14707185441111,20.54332919697207
146,525600,0.8281387974450226,28.95870107552756,21.409063896571947
147,529200,0.7862466010109503,29.160491185052354,21.051183317370658
148,532800,0.8237474372647599,30.32548696528238,20.31761894992579
149,536400,0.7949959558802016,28.96229366349239,20.43952573759513
150,540000,0.7702725905633744,29.680145058242182,20.656841374496196
151,543600,0.8321911803594658,28.675352801502815,20.76026589545857
152,547200,0.8150016335203928,29.09841732878387,21.15946648689542
153,550800,0.7770548917167706,28.823688479411302,20.77506682465174
154,554400,0.7881518050090842,29.53363705984356,20.71876964830124
155,558000,0.8358777154071513,29.972006645777505,21.23279787459028
156,561600,0.7647818587571592,29.149598000016773,21.164627023615765
157,565200,0.8079082101036582,29.690710334769804,20.964598501688076
158,568800,0.8124363188554277,29.239984194739506,20.90222546953022
159,572400,0.8444626217456134,29.576131343651486,21.012273269921714
160,576000,0.7935130726552775,29.437835448813896,21.24629178564671
161,579600,0.8057511801390844,29.776896983766402,21.564532096972027
162,583200,0.8708704443765832,29.314871074671505,21.57415019479588
163,586800,0.8217784913569622,30.85048607646794,21.099128470716032
164,590400,0.7871909989224806,29.56707621825958,21.278607248737163
165,594000,0.8605658118547374,30.045408181696402,21.161345613485725
166,597600,0.8546587190064353,30.2967766204794,20.68460608317856
167,601200,0.8554842187025938,29.887804681821653,20.448898855280348
168,604800,0.7084785378533683,31.635032795618635,21.690510374874332
169,608400,0.7084222383383749,30.56278196363093,22.450672324968952
170,612000,0.7080222418200984,30.533282939990904,21.576230332668604
171,615600,0.6985667160916388,30.195031263230113,20.925185682253336
172,619200,0.6880897501105965,30.27280410980581,21.562126143842235
173,622800,0.6970072239656084,30.681228595132875,22.29121150700259
174,626400,0.7315286454823268,30.478881284045855,21.154420205618973
