,Seconds,Q_water DataCentre [kW]_model,T_sup_water DataCentre [°C]_model,T_ret_water DataCentre [°C]_model
0,0,0.8248063580261673,35.611737081478964,22.785095746152088
1,3600,0.870258429346448,36.537421791268706,22.399508550048104
2,7200,0.9337048308538609,36.770681410135964,22.563328924078206
3,10800,0.771804981451891,35.30800416193871,22.87315654029976
4,14400,0.8345054924032346,36.97522100608282,22.411096603159496
5,18000,0.8053914158070165,37.176154349763465,22.902487178620458
6,21600,0.8029404569554985,37.09892986114394,22.596565491780257
7,25200,0.8016584505546889,35.802069268732104,22.843126966441883
8,28800,0.8260602725120204,37.27630095363148,22.16719682512733
9,32400,0.7854441229433782,36.0085090357796,22.620528087368346
10,36000,0.8320736166818542,36.5680844186176,22.608182420226868
11,39600,0.8934137309893162,35.66512265810628,22.59548046554167
12,43200,0.8123352223654838,37.65780621472412,22.305558933806566
13,46800,0.8110587947364333,36.31703377317144,22.993971745927748
14,50400,0.9169498248654169,36.4098659470447,22.749770332893558
15,54000,0.8181349761605967,36.7967320237906,23.16693519649436
16,57600,0.8150926689061755,37.23692572492635,22.355086388823658
17,61200,0.7786890135876053,36.90542162639597,23.383700867024032
18,64800,0.7517978929597539,37.10738115368138,22.44608009364416
19,68400,0.828345852209937,36.342544624095076,23.062189848365062
20,72000,0.937935085339825,36.621850014742634,22.408089292895887
21,75600,0.8877233585647771,37.68027166206758,22.94758227130847
22,79200,0.9746226789325727,36.715881115680325,22.531527803531358
23,82800,0.863075349397077,36.412241730746615,22.572000789239013
24,86400,0.991800810868557,35.82020257396239,22.597270941022312
25,90000,0.9468923864262468,36.480538476600756,22.05532880036379
26,93600,0.9691759366756456,35.17738640806864,22.319433430145796
27,97200,1.0085769871286108,35.702007292724346,21.79840129486291
28,100800,0.9411795045758368,35.91336980901799,22.871191652246278
29,104400,0.9670071984875185,36.82625547486742,21.951804684064584
30,108000,0.9382969285498532,35.375210833311456,22.238370284780178
31,111600,1.04609197903549,36.51701366558428,22.22941867508297
32,115200,0.9403795057682787,36.91303220877943,22.190105147169806
33,118800,0.9743475443959096,35.801915872085324,22.248675618379806
34,122400,0.9340715960641484,35.41394096650196,21.823838454234668
35,126000,0.9806642540149779,36.69098603893669,22.480432493345802
36,129600,0.9891309891735376,37.02911925418534,23.303699828167762
37,133200,0.9267691508050405,35.28467416100332,22.6364434782174
38,136800,0.9838183685017639,35.63650909441841,22.52161330226281
39,140400,1.0379670760796647,35.854125324590555,22.220039841601434
40,144000,0.9198856074474513,36.29444262301094,22.836674936423414
41,147600,0.9635137991020648,36.162705275428365,22.17220496687503
42,151200,0.9974797317049224,36.1510872728095,22.58719918796557
43,154800,0.9083166217124214,35.158439045782224,22.392370046607088
44,158400,0.9707902531521736,36.091774231426506,22.128097972951068
45,162000,0.8851082640104161,36.46096391040254,22.972018945672307
46,165600,0.9738783931480844,36.528366357226304,22.618042296825145
47,169200,0.9838299423820367,35.53241118639653,22.412183141857977
48,172800,0.9603504019229592,36.72828372604469,22.713150417395656
49,176400,0.859945913554722,36.930174182523736,22.69497282122013
50,180000,0.8580776684026901,35.89367825079613,22.95840919968897
